epoch,loss,mse,val_loss,val_mse
0,525.4614617919922,525.4614,92.9461441040039,92.9461441040039
1,471.8236375732422,471.82367,2286.470947265625,2286.470947265625
2,444.1648408203125,444.16486,4075.37939453125,4075.37939453125
3,432.7385322265625,432.73853,2130.334716796875,2130.334716796875
4,423.59030859375,423.59027,1055.2470703125,1055.2470703125
5,412.0118098144531,412.0118,437.0684509277344,437.0684509277344
6,402.09279760742186,402.0928,270.71954345703125,270.71954345703125
7,396.3634140625,396.36343,227.97982788085938,227.97982788085938
8,381.5686086425781,381.56857,154.98574829101562,154.98574829101562
9,374.0598221435547,374.0598,148.14878845214844,148.14878845214844
10,354.69326245117185,354.69324,146.2142333984375,146.2142333984375
11,346.47828771972655,346.47824,147.22755432128906,147.22755432128906
12,333.05245837402344,333.05246,140.53030395507812,140.53030395507812
13,320.74013745117185,320.74014,143.79998779296875,143.79998779296875
14,301.7090989379883,301.70914,143.19857788085938,143.19857788085938
15,286.6989155883789,286.69894,139.86233520507812,139.86233520507812
16,263.0170148925781,263.017,136.6414794921875,136.6414794921875
17,244.05995922851562,244.05995,137.54150390625,137.54150390625
18,226.48514709472656,226.48515,140.84339904785156,140.84339904785156
19,201.6021926879883,201.60219,134.76783752441406,134.76783752441406
20,183.22910260009766,183.22911,134.8958740234375,134.8958740234375
21,168.39085943603516,168.39084,125.15928649902344,125.15928649902344
22,147.31359228515626,147.3136,97.6103515625,97.6103515625
23,129.74740728759767,129.7474,82.44800567626953,82.44800567626953
24,116.17439694213867,116.17441,74.351318359375,74.351318359375
25,96.56292701721192,96.56293,60.84795379638672,60.84795379638672
26,79.87766777038574,79.87767,54.39404296875,54.39404296875
27,67.3877738647461,67.387764,48.61566925048828,48.61566925048828
28,57.77679019165039,57.776787,37.276058197021484,37.276058197021484
29,48.05884189605713,48.058846,32.35915756225586,32.35915756225586
30,42.93391752624512,42.933918,29.2329044342041,29.2329044342041
31,39.216573097229,39.216576,28.04607582092285,28.04607582092285
32,33.5580029296875,33.558,24.96634292602539,24.96634292602539
33,27.31266031265259,27.31266,18.90149688720703,18.90149688720703
34,22.11056134033203,22.110563,15.67995834350586,15.67995834350586
35,23.80279430770874,23.802795,7.966351509094238,7.966351509094238
36,18.56103629684448,18.561037,5.668962478637695,5.668962478637695
37,22.406196510314942,22.406195,5.225193023681641,5.225193023681641
38,20.44395003128052,20.44395,3.588986396789551,3.588986396789551
39,16.900503494262697,16.900501,6.958608627319336,6.958608627319336
40,17.98183948135376,17.98184,2.9812815189361572,2.9812815189361572
41,16.254529422760008,16.25453,4.774641513824463,4.774641513824463
42,16.778078830718993,16.77808,3.9293909072875977,3.9293909072875977
43,15.697529834747314,15.697529,4.734615802764893,4.734615802764893
44,14.416387817382812,14.416388,6.589612007141113,6.589612007141113
45,17.112138282775877,17.112139,6.440704822540283,6.440704822540283
46,14.847656658172607,14.847657,3.8159735202789307,3.8159735202789307
47,15.586242794036865,15.586242,3.901261329650879,3.901261329650879
