,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
training time,482.56508016586304,503.66407918930054,606.5929951667786,505.7011330127716,533.9522650241852,638.9105048179626,612.6466569900513,499.985759973526,695.4489898681641,517.8204879760742,535.2841629981995,759.274365901947,662.6262938976288,608.7906582355499,559.5091490745544,687.9214341640472,687.3006432056427,462.9831850528717,424.6674737930298,648.8778128623962,787.385614156723,590.1938018798828,661.6423487663269,669.3913009166718,628.7738420963287,647.623496055603,661.0731370449066,660.5483939647675,627.0617218017578,648.5494289398193,599.17298412323,809.075700044632,539.0664169788361,680.6478610038757,477.48317408561707,794.099996805191,723.0374970436096,860.4547369480133,382.8484151363373,818.726616859436,541.6474170684814,614.8657917976379,527.1132102012634,946.9104738235474,503.3254599571228,736.0281209945679,798.6946058273315,457.60306191444397,886.3321897983551,701.3143901824951,441.94992780685425,628.6870222091675,774.7662577629089,627.423672914505,886.4873569011688,663.9721260070801,484.49627804756165,924.2777609825134,581.4488110542297,533.267502784729,558.6899681091309,1042.1262471675873,458.9366719722748,614.9669818878174,735.0662217140198,716.3956878185272,767.8525960445404,868.3822839260101,435.8811390399933,982.833419084549,801.481064081192,317.35411190986633
dropout,0.7205616652956686,0.39512261764843404,0.3146402549014343,0.6318228118423725,0.6949069862889399,0.20068569158865698,0.6861303415979538,0.3860885415915996,0.7393029727807963,0.6702791534208636,0.48595817249141354,0.7448677311172012,0.3431695571691321,0.6819076815679221,0.24826749113152127,0.7540286095677684,0.7389038728147275,0.5243599549688327,0.7460096088194239,0.608353479537354,0.5809999459468751,0.4862058659316303,0.35629538623517565,0.5292195823013537,0.5577721169498638,0.5453906084989332,0.3136347971326137,0.3458213732371138,0.2702805759251108,0.6767497830263456,0.5676639079211641,0.4859185952056285,0.6545623531798621,0.7766187681437668,0.27433709865465905,0.6804479542125086,0.41017638043791943,0.5021819031259325,0.26055274471337997,0.6759950504781346,0.5676698630244275,0.5780884042468837,0.6231700399126439,0.6869772251047273,0.7370233804560051,0.5455717688189246,0.42208396420111255,0.22183522256689148,0.21366954540119504,0.2609001316245019,0.3324975627897905,0.7698589239392724,0.47033786397869315,0.7977547036121437,0.6886801179748017,0.7783031275842807,0.5525702385052619,0.6895478579201958,0.2878150933473823,0.22714044071936743,0.5047643855123445,0.2654347075586622,0.6239368459201339,0.36910270663982236,0.571021398005199,0.7458477535809442,0.7066531109150289,0.45234294849850704,0.5067648328211651,0.48328562927162805,0.46050310127227023,0.747806631942739
lr,0.0003195197891984188,0.0008834241088977892,0.0006107596665586048,0.00045894118800184183,0.0007013378811086657,0.0005442200798187922,0.0009119493553956245,0.0007568485734341158,0.0007155855387238971,0.0003729814534710347,0.0006250438355095281,0.0005542181702356512,0.000970786225261129,0.0005031726142920134,0.00038804914420529117,0.0008582142008261642,0.0009307741958381592,0.00045216644521116236,0.0005807781714346515,0.0001240271151959847,0.0006457045759787971,0.000878778934994476,0.0008245250443117201,0.00011263753014761706,0.0004464110313753944,0.0003612965521624822,0.0002680565754299996,0.000758340298711763,0.0002984144831810457,0.0003992825342976899,0.000690993450090666,0.0001808419250760343,0.0008890933337404973,0.0002664747472576945,0.0002895188588979818,0.0009432722427801227,0.0002622861113767191,0.00013544083637622315,0.0009894116338502509,0.00017413568937698265,0.0005377997817722502,0.0008605698181043637,0.0003480707091809144,0.0008645373686677304,0.0006308210651780439,0.0004520884683905442,0.0009824649855825417,0.00011947285886952167,0.0004830569487701354,0.0003339279008135488,0.0006822331478517904,0.0006217255096710453,0.0006942208407601501,0.0009252470961527105,0.0005862552462732915,0.0006428670651652447,0.0005004901236479646,0.00019054676819448658,0.0007279035761721149,0.0006164794331102502,0.0009395504418042161,0.0005961405214814961,0.0005926968201955815,0.0007802237837415015,0.0003254557072261965,0.0009845069284338877,0.0007821589626462723,0.000333025075263667,0.00046444072370537286,0.00019063108726152922,0.0006497982760994215,0.000969945730993683
bs,82,98,62,67,79,50,92,89,99,94,73,36,58,58,84,59,46,86,95,65,34,62,82,48,51,36,35,69,67,73,62,52,56,49,75,33,41,41,93,49,97,70,92,37,77,41,51,85,45,81,85,65,43,31,40,80,83,41,84,32,87,30,45,84,55,31,61,42,40,33,54,63
val metric,"[33.30996551513672, 5.7714787568712085]","[0.29470528721809386, 0.5428676373858422]","[0.5139758133888245, 0.7169210965569046]","[1.9096142959594726, 1.3818879134576771]","[2.327295198440552, 1.5255475421450249]","[0.04240885153412819, 0.20593410054991468]","[2.2378972244262694, 1.4959602794422944]","[0.07623478695750237, 0.2761064789217385]","[80.13791900634766, 8.951978360392825]","[7.144201583862305, 2.672863961282669]","[0.6080270338058472, 0.7797608870406393]","[1.4955045127868651, 1.222908213432942]","[0.05729668468236923, 0.23936726149259036]","[1.9378958702087403, 1.3920832499679423]","[0.0828821861743927, 0.2878926679520603]","[1.5639762878417969, 1.2505903757193229]","[0.6367163467407226, 0.7979450894730846]","[1.2213475179672242, 1.1051458958933984]","[8.708029022216797, 2.9509369348284893]","[31.312242431640627, 5.595734143129563]","[0.2879617750644684, 0.5366207049909022]","[0.75380774974823, 0.8682210450840449]","[0.4785269367694855, 0.6917564022690249]","[8.53271957397461, 2.9210819249246645]","[0.9114534330368042, 0.9547006996353605]","[0.5003695702552795, 0.7073680433816666]","[0.14928439617156983, 0.3863734042302243]","[0.15475938618183135, 0.39339470273797006]","[0.1253039026260376, 0.3539829011144286]","[14.292674255371093, 3.7805651840646677]","[3.5590984344482424, 1.8865573095275845]","[2.8450018215179442, 1.6867133532283611]","[0.6370463657379151, 0.798151825862527]","[34.75047760009765, 5.894953505936939]","[0.2731331896781921, 0.5226214581186839]","[1.4026712799072265, 1.184344214288395]","[0.4430449175834656, 0.6656162037514467]","[3.7715384674072268, 1.9420449877477182]","[0.059776751548051836, 0.24449284894896123]","[32.45555633544922, 5.696977704200553]","[0.8099834871292114, 0.8999908287852622]","[1.1504227256774902, 1.0725775926705206]","[5.1119240951538085, 2.2609564727008244]","[0.5531542921066284, 0.7437434300364896]","[6.812298908233642, 2.610038079170348]","[0.9921145820617676, 0.9960494686082589]","[0.06876851677894592, 0.2622375328466161]","[0.495358304977417, 0.7038169423139204]","[0.28453401088714597, 0.5334172919121271]","[0.24837273478507996, 0.49837007694381796]","[0.05997027218341827, 0.244888289976479]","[27.979729232788085, 5.289586817392307]","[0.11995735138654709, 0.3463485963512111]","[4.518639755249024, 2.12570930311539]","[1.2291158390045167, 1.1086549705714976]","[38.70377563476563, 6.221235689035994]","[30.60036392211914, 5.531759637317822]","[63.09606994628906, 7.943303427160359]","[0.059194719046354295, 0.2432996456146991]","[0.07432661056518555, 0.2726290741195841]","[0.1616984361410141, 0.4021174340619865]","[0.06352447956800461, 0.2520406260582187]","[1.0881408405303956, 1.0431398972806893]","[0.14060426652431487, 0.37497236229458214]","[6.244744567871094, 2.49894873450406]","[1.6660551643371582, 1.290757607951288]","[2.853628702163696, 1.6892686688050822]","[0.40081212401390076, 0.6330972431195141]","[0.30965383172035216, 0.5564654961537622]","[6.483828735351563, 2.546336298413212]","[0.301304452419281, 0.5489120690710293]","[1.6011747789382935, 1.2653753717337717]"
neurons,"[842, 628, 554, 287, 1]","[994, 702, 409, 202, 1]","[810, 612, 504, 365, 367, 1]","[807, 731, 448, 276, 1]","[848, 709, 579, 249, 1]","[829, 603, 474, 284, 265, 319, 1]","[998, 740, 490, 274, 382, 1]","[999, 645, 533, 247, 1]","[995, 738, 457, 289, 331, 325, 1]","[955, 784, 520, 265, 1]","[888, 634, 403, 388, 365, 1]","[870, 748, 534, 228, 1]","[833, 754, 499, 250, 288, 220, 1]","[818, 753, 552, 239, 1]","[946, 795, 572, 245, 1]","[883, 740, 535, 380, 280, 1]","[874, 731, 461, 267, 1]","[884, 716, 456, 262, 1]","[810, 605, 438, 366, 1]","[859, 764, 533, 205, 238, 1]","[977, 684, 514, 209, 1]","[957, 612, 518, 246, 318, 1]","[915, 687, 524, 353, 374, 307, 1]","[910, 664, 476, 318, 273, 1]","[843, 679, 462, 276, 247, 1]","[818, 689, 413, 292, 1]","[848, 640, 554, 358, 1]","[829, 694, 565, 326, 216, 299, 1]","[865, 623, 600, 328, 287, 1]","[889, 734, 501, 241, 345, 312, 1]","[837, 659, 513, 295, 296, 1]","[938, 740, 493, 264, 357, 290, 1]","[836, 683, 527, 205, 292, 1]","[996, 711, 411, 297, 1]","[811, 625, 497, 295, 1]","[889, 688, 438, 251, 216, 351, 1]","[868, 717, 515, 385, 1]","[882, 603, 565, 335, 229, 278, 1]","[811, 616, 460, 323, 303, 1]","[957, 733, 568, 350, 230, 1]","[948, 706, 474, 323, 1]","[860, 693, 569, 240, 388, 379, 1]","[945, 717, 585, 209, 1]","[961, 732, 544, 271, 262, 223, 1]","[822, 698, 558, 280, 355, 1]","[824, 694, 530, 283, 331, 1]","[881, 754, 598, 375, 298, 1]","[970, 722, 585, 345, 1]","[974, 722, 557, 202, 333, 321, 1]","[963, 780, 503, 318, 207, 379, 1]","[983, 713, 539, 395, 322, 1]","[811, 678, 430, 290, 234, 254, 1]","[859, 712, 565, 268, 381, 1]","[819, 707, 408, 296, 397, 1]","[833, 751, 540, 333, 238, 201, 1]","[925, 606, 502, 366, 275, 314, 1]","[876, 757, 409, 315, 400, 333, 1]","[997, 718, 547, 222, 309, 339, 1]","[935, 719, 426, 248, 399, 1]","[900, 682, 487, 349, 1]","[938, 795, 534, 299, 1]","[947, 762, 450, 302, 220, 371, 1]","[909, 705, 594, 340, 1]","[892, 702, 501, 323, 397, 309, 1]","[949, 759, 481, 235, 336, 1]","[973, 744, 553, 319, 365, 1]","[935, 665, 569, 266, 314, 292, 1]","[978, 774, 493, 314, 361, 1]","[880, 666, 600, 325, 1]","[932, 617, 597, 391, 294, 352, 1]","[968, 764, 458, 377, 383, 1]","[946, 697, 535, 381, 246, 1]"
filepath,22,23,24,19,20,21,10,11,12,4,5,6,25,26,27,40,41,42,58,59,60,16,17,18,34,35,36,52,53,54,37,38,39,64,65,66,70,71,72,49,50,51,43,44,45,61,62,63,67,68,69,46,47,48,31,32,33,55,56,57,28,29,30,7,8,9,1,2,3,13,14,15
training metric,"[34.179232162475586, 5.846300843356027]","[0.4626217110157013, 0.6801629650609118]","[0.6591543614864349, 0.8118832521555148]","[1.7311320028305053, 1.315724906843015]","[2.1512688312530517, 1.4667203961992317]","[0.07220323130488396, 0.26870659433307803]","[2.04181316947937, 1.428920268995823]","[0.10593211263418198, 0.32547214398237506]","[77.28181689453125, 8.79100803119812]","[6.33415827178955, 2.5167753065630603]","[0.6190952076911926, 0.7868260330344193]","[1.6225118417739868, 1.2737785303965548]","[0.08977381575107575, 0.2996227942772667]","[1.9275996103286743, 1.3883802319619822]","[0.1134885157942772, 0.3368805578406763]","[1.5269018878936769, 1.235678600099984]","[0.9504436769485474, 0.9749069829733165]","[1.2820418863296508, 1.1322728943635831]","[6.897131553649903, 2.6262392116290547]","[29.357170471191406, 5.41822573403697]","[0.3883982253074646, 0.6232160380444619]","[1.2649591999053955, 1.1247040571269666]","[0.7218861036300659, 0.8496388397369213]","[7.283846981048584, 2.698860288188993]","[0.9881185607910157, 0.994041512875475]","[0.5605248465538025, 0.748682056203722]","[0.1732397619485855, 0.4162208158555049]","[0.19422395503520964, 0.44070848661534695]","[0.13085225254297256, 0.36173505808111733]","[10.909543807983399, 3.302959883360509]","[3.3501544761657716, 1.830342765246555]","[2.4341424007415773, 1.5601737444053896]","[0.8289394173622131, 0.9104610473034644]","[30.095665924072264, 5.485951775706379]","[0.37718681240081786, 0.614155359017441]","[1.8626358661651612, 1.3647841337358382]","[0.5800492668151855, 0.7616096614092607]","[3.603320613861084, 1.8982414489738377]","[0.09149812239408493, 0.3024865643615011]","[28.272365142822267, 5.317176465951488]","[1.0638798723220826, 1.0314455136004763]","[1.5699346446990967, 1.2529704086572448]","[4.576319858551026, 2.1392335476418185]","[0.8416826310157776, 0.9174326528419459]","[5.3616130104064945, 2.315515665415254]","[1.3319506721496581, 1.1541017215694436]","[0.10619456893205642, 0.3258750730111319]","[0.647830018043518, 0.804878915778699]","[0.4227825527191162, 0.6502173023854027]","[0.2870374808311462, 0.5357587722063714]","[0.08444872468709946, 0.29060062798473557]","[26.159264663696288, 5.1146125663134265]","[0.221778151512146, 0.4709332959924687]","[5.108088356018066, 2.26010817665534]","[1.4168959503173828, 1.1903344007476775]","[32.07296505737305, 5.663300056442081]","[31.95683203125, 5.6530373232797215]","[56.31134197998047, 7.504087987046393]","[0.06810003697872162, 0.2609598201639511]","[0.0960689424276352, 0.3099498888629382]","[0.20770840072631835, 0.45575037407349656]","[0.12261356723308563, 0.35016221817152876]","[1.4077646141052247, 1.186492542759432]","[0.14103030759096147, 0.3755400464472915]","[6.091207729339599, 2.468037079833952]","[1.8982748222351074, 1.3777789297705794]","[2.6896709899902342, 1.6400215855782874]","[0.4706982626914978, 0.6860745130225495]","[0.39634267592430117, 0.6295575152097277]","[6.400898960113525, 2.5299996007383734]","[0.38004635548591614, 0.6164789841048446]","[1.4300561742782594, 1.1958496781582373]"
