,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
bs,174,159,194,197,159,114,137,148,151,156,173,160,135,146,129,131,137,102,144,167,192,134,183,83,143,50,72,172,112,89,154,189,82,72,86,104,88,91,180,89,160,58,151,70,50,122,111,54
training time,148067.769469738,186669.85464715958,175987.88232016563,165708.1665480137,149647.42011213303,210013.30899882317,198243.77428102493,172897.51090312004,189994.21564769745,181295.83369612694,196702.94930195808,188724.13528203964,216437.79295492172,176187.26664113998,203127.30031633377,190904.89360904694,156140.54246401787,238394.40472602844,217865.26930379868,179289.8109920025,189628.80667877197,207992.11157679558,184890.83875203133,219905.7169291973,155542.0027000904,251507.4955239296,249986.59198904037,157606.88232803345,217449.93738293648,190881.47201108932,231717.76044631004,176863.27194595337,198398.31732988358,223554.56837701797,239624.97332715988,185234.46229696274,225788.84664988518,199543.58981990814,197072.03361201286,228359.0387301445,202017.73267698288,224998.29240775108,201261.7328131199,225836.57649493217,313413.0269732475,128302.20182609558,238437.93762516975,206926.7204117775
neurons,"[885, 620, 410, 387, 3]","[932, 674, 404, 326, 353, 3]","[901, 672, 494, 350, 218, 217, 3]","[855, 630, 480, 397, 234, 3]","[846, 644, 586, 200, 3]","[893, 662, 402, 293, 203, 295, 3]","[915, 779, 465, 251, 263, 3]","[845, 774, 486, 275, 3]","[890, 788, 479, 227, 305, 3]","[836, 675, 581, 224, 335, 3]","[857, 770, 564, 363, 263, 3]","[889, 742, 486, 376, 244, 3]","[915, 761, 460, 399, 212, 219, 3]","[988, 638, 517, 361, 3]","[950, 701, 400, 219, 299, 295, 3]","[899, 641, 510, 315, 386, 3]","[817, 631, 459, 340, 3]","[889, 800, 565, 238, 252, 3]","[910, 745, 401, 377, 284, 344, 3]","[859, 638, 418, 364, 333, 249, 3]","[901, 693, 575, 285, 227, 309, 3]","[909, 715, 469, 313, 264, 311, 3]","[965, 735, 598, 356, 3]","[888, 690, 469, 381, 246, 3]","[935, 614, 412, 249, 3]","[898, 647, 492, 257, 262, 3]","[831, 676, 468, 265, 286, 294, 3]","[858, 713, 563, 232, 242, 3]","[860, 751, 472, 236, 330, 259, 3]","[819, 617, 516, 206, 265, 362, 3]","[997, 702, 482, 389, 277, 393, 3]","[863, 688, 507, 370, 370, 297, 3]","[993, 603, 526, 222, 3]","[991, 644, 441, 399, 341, 3]","[943, 798, 416, 283, 3]","[938, 654, 554, 319, 332, 3]","[917, 689, 525, 312, 218, 3]","[830, 768, 489, 267, 263, 289, 3]","[935, 775, 494, 325, 363, 3]","[998, 719, 491, 256, 322, 214, 3]","[913, 740, 550, 392, 254, 3]","[951, 684, 588, 208, 3]","[914, 705, 461, 254, 269, 393, 3]","[903, 699, 518, 380, 330, 3]","[971, 669, 514, 326, 364, 3]","[996, 619, 412, 370, 372, 3]","[879, 669, 558, 389, 279, 258, 3]","[876, 731, 532, 308, 237, 3]"
val metric,"[3.2530285652160646, 1.803615036724537]","[3.3507389854431153, 1.83050206504524]","[3.1349594829559324, 1.7705815379325662]","[3.355021586227417, 1.831671901182841]","[3.362850386619568, 1.8338078260502928]","[3.6396756313323975, 1.9077928896684213]","[3.310482315826416, 1.8194728109787042]","[3.5168347517967224, 1.8753227591873616]","[3.4300212535858154, 1.8520317287858006]","[3.3017452276229857, 1.817070296124938]","[4.431852449989319, 2.1051963955557884]","[3.2562566679954528, 1.804510264755654]","[3.1640782289505003, 1.7787856069875934]","[3.3321454696655275, 1.825416776019577]","[3.3938908712387086, 1.8422518316915442]","[3.2294749658584596, 1.79707401666217]","[3.273223828983307, 1.8092050528557586]","[3.3642661151885984, 1.8341936635941276]","[3.0806476112365724, 1.755177468350153]","[3.1317096281051637, 1.7696636226228128]","[3.2645142528533935, 1.8067970002003162]","[3.336873195075989, 1.8267111894769057]","[3.2295140689849853, 1.7970850282739643]","[3.3894643579483033, 1.8410496090820574]","[3.658273190307617, 1.912661479540484]","[3.602482662773132, 1.8980204434153065]","[3.248939732170105, 1.8024816201551999]","[3.1901782409667967, 1.786106783102094]","[3.3768013612747194, 1.8376074804933484]","[3.6943539741516114, 1.9220701289169586]","[3.276205266952515, 1.8100288909376703]","[3.097633386039734, 1.760009410031045]","[3.4579517066955567, 1.8595566861158532]","[3.6734330905914305, 1.9166200328074137]","[3.476572751426697, 1.8645570493866581]","[3.231013958930969, 1.797502159467522]","[3.298678088188171, 1.8162263514534043]","[3.6519457708358765, 1.9110065588087495]","[3.382780097579956, 1.8392336860525365]","[3.2785364030838013, 1.8106730230966122]","[3.10834231300354, 1.763049517519802]","[3.894282530593872, 1.973393912298382]","[3.2687615013122557, 1.8079718886316782]","[3.3681286571502684, 1.8352460492518587]","[3.4460236663818358, 1.8563468060152124]","[3.327624809169769, 1.824177906959632]","[3.4046001991271972, 1.8451559234523234]","[3.48430308971405, 1.8666287148682066]"
dropout,0.2620295138638665,0.3797676575935987,0.3151302028329777,0.23787826571087123,0.20022856386288568,0.3735205550985562,0.3628933726582672,0.39276770919476023,0.3790077934853351,0.38995297464642414,0.38194925119364803,0.3620434471993179,0.3175234128350873,0.31925737231662127,0.3410566799708813,0.3623257417015757,0.24772318572304405,0.36063589385597405,0.26504087254947806,0.23821341830047812,0.34394093728079084,0.3649689954296466,0.30225494427372174,0.35675971780695453,0.36888437030500965,0.284114316166169,0.22181156918622075,0.34131228197337793,0.3515207843932874,0.38467620318925616,0.3796346242715758,0.3081199849896109,0.2520984620783919,0.3097398607671179,0.2563675688799408,0.32367379933506635,0.29011262132623106,0.3992515678707146,0.29442854309054267,0.28683436709075677,0.32255463597372136,0.29530619840187616,0.2160891637105071,0.3015881285041148,0.2953193908304712,0.38162257703906705,0.38260221064757965,0.2954019553105434
training metric,"[0.9170995637226105, 0.9576530149520031]","[1.5355161628341676, 1.2391596425329192]","[1.0662512067604064, 1.0325941515799595]","[0.7446937594985962, 0.8629566117316584]","[0.6835342845201492, 0.826761526797409]","[1.8550603007888793, 1.3620053417056248]","[1.3838169344329834, 1.176357748952334]","[1.6069459448242187, 1.2676542050610682]","[1.6393162053108215, 1.2803574220999447]","[1.6097793242263794, 1.268770195184846]","[2.4006788650512694, 1.5494121975143982]","[1.3008746482276916, 1.140559364416129]","[1.1341497689628601, 1.0649648014036708]","[1.090647031364441, 1.0443406814972551]","[1.4185931440162658, 1.1910471891059757]","[1.3799174971961976, 1.174698695651826]","[0.9059583637905121, 0.9518184461719126]","[1.4764724050521851, 1.2151018463430912]","[0.8503528382015229, 0.922145609820412]","[0.8433289518928527, 0.9183293709666577]","[1.2449160706710816, 1.1157578610932435]","[1.6453222159576415, 1.2827010892748474]","[0.9802894404697419, 0.9900948992433763]","[1.6155004959106445, 1.2710229648793414]","[1.553938163986206, 1.2465703166526292]","[1.718710551109314, 1.3109962841216964]","[0.931175948934555, 0.9649746145852625]","[1.2510040722846985, 1.1184824660951465]","[1.5970152352142335, 1.2637307862312546]","[2.0968138314819336, 1.4480370487510545]","[1.4915638221359253, 1.2212959986040894]","[0.9507442799186706, 0.9750613462271233]","[1.0790659483623504, 1.0387809773587617]","[1.5490114909362793, 1.244592940722636]","[1.060408940410614, 1.0297619458436629]","[1.3148897380924225, 1.1466861267896666]","[1.1993824944496154, 1.0951628143292331]","[1.992226110496521, 1.4114623216335729]","[0.9151485964107513, 0.956633785000605]","[1.1551069928741455, 1.074758997227982]","[1.0218913146591186, 1.010886538605152]","[1.8429647997665406, 1.3575589117681794]","[0.825396154460907, 0.9085129404253852]","[1.3108013772010803, 1.1449019316775015]","[1.5936762665748596, 1.2624094581241234]","[1.58378730676651, 1.2584860757414373]","[1.755184661808014, 1.3248344048000515]","[1.5489062396240234, 1.2445517538887665]"
lr,0.0007568485734341158,0.0007155855387238971,0.0003612965521624822,0.0002680565754299996,0.0005442200798187922,0.0003195197891984188,0.0005862552462732915,0.0006428670651652447,0.0006308210651780439,0.0006217255096710453,0.0009845069284338877,0.0009119493553956245,0.0005004901236479646,0.0004464110313753944,0.0003480707091809144,0.0008645373686677304,0.000970786225261129,0.0005031726142920134,0.0008834241088977892,0.0006107596665586048,0.00045894118800184183,0.0007013378811086657,0.00046444072370537286,0.0003729814534710347,0.0007821589626462723,0.000333025075263667,0.0005961405214814961,0.0005926968201955815,0.0008890933337404973,0.0008582142008261642,0.0009307741958381592,0.00045216644521116236,0.0008245250443117201,0.00011263753014761706,0.0007802237837415015,0.0003254557072261965,0.0006942208407601501,0.0009252470961527105,0.00019063108726152922,0.0006497982760994215,0.000690993450090666,0.0001808419250760343,0.00038804914420529117,0.0009395504418042161,0.0006250438355095281,0.0005542181702356512,0.000969945730993683,0.000878778934994476
filepath,11,12,35,36,21,22,31,32,45,46,9,10,33,34,43,44,25,26,23,24,19,20,3,4,1,2,29,30,39,40,41,42,17,18,7,8,47,48,13,14,37,38,27,28,5,6,15,16
