,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
bs,154,168,107,165,193,182,128,199,95,193,198,71,149,90,169,197,101,124,193,86,143,149,181,86,124,73,173,118,134,183,120,94,166,112,191,91,95,191,140,73,138,101,63,156,77,132,77,134,54,116,68,83,120,59,95,76,103,127,55,74,109,85,153,80,172,74,58,107,75,57,54,75
val metric,"[0.017422327591618523, 0.995199978351593]","[0.0033298568447411524, 0.9998000264167786]","[0.027678120154701173, 0.9922000169754028]","[0.001145546122887754, 0.9998000264167786]","[0.010911103494721465, 0.9986000061035156]","[0.016584547599311918, 0.9947999715805054]","[0.0030290640654042364, 0.9990000128746033]","[0.0021265999835915865, 0.9997000098228455]","[0.020426153834967407, 0.9940000176429749]","[0.004628567459248006, 0.9994999766349792]","[0.004689882959151874, 0.9987000226974487]","[0.011009147817175836, 0.9995999932289124]","[0.007606773933384102, 0.9980000257492065]","[0.0014907302655279636, 0.9994999766349792]","[0.020898938191169874, 0.9943000078201294]","[0.0012681605242512888, 0.9998000264167786]","[0.0052259795682752155, 0.9997000098228455]","[0.005551000168989412, 0.9983000159263611]","[0.015034204992139711, 0.9955999851226807]","[0.0124448668661993, 0.9959999918937683]","[0.003731392354774289, 0.9993000030517578]","[0.00483349539192859, 0.9994999766349792]","[0.0025514534329035086, 0.9994000196456909]","[0.005413718130497728, 0.9980999827384949]","[0.0019632729304423263, 0.9995999932289124]","[0.0034135683363565477, 0.9998999834060669]","[0.00674493190960493, 0.9980000257492065]","[0.002321132260921877, 0.9998000264167786]","[0.008861465128802228, 1.0]","[0.01348841255218722, 0.9958999752998352]","[0.003348613748053322, 0.9997000098228455]","[0.010763899587947526, 0.9962999820709229]","[0.008381762418456493, 0.9998000264167786]","[0.0031770115203747992, 0.9998999834060669]","[0.001038195389469911, 0.9998000264167786]","[0.0025279941918316126, 0.9998000264167786]","[0.011278177407069597, 0.9955999851226807]","[0.0019911959176926756, 0.9994000196456909]","[0.0023658361194917234, 0.9993000030517578]","[0.01888754085591063, 0.9939000010490417]","[0.0033650396704906597, 0.9997000098228455]","[0.0012828191819528002, 0.9998000264167786]","[0.0049288249819655905, 0.9988999962806702]","[0.0028099117158279113, 0.9997000098228455]","[0.004782405660941731, 0.9995999932289124]","[0.030076184784946964, 0.9912999868392944]","[0.005450672809779644, 0.9984999895095825]","[0.0038581183005153433, 0.9991000294685364]","[0.01080692621646449, 0.9965999722480774]","[0.0013845567507836678, 0.9997000098228455]","[0.015795058083347975, 0.9948999881744385]","[0.00238045959014853, 0.9994999766349792]","[0.005341399197769351, 0.9980999827384949]","[0.0018887225589875015, 0.9998000264167786]","[0.011365593638003338, 0.9961000084877014]","[0.040766979651153085, 0.9900000095367432]","[0.00315126014277339, 0.9994000196456909]","[0.02936820560283959, 0.9915000200271606]","[0.005413505457244173, 0.9998999834060669]","[0.011828310404380317, 0.9998000264167786]","[0.023386844452563674, 0.9932000041007996]","[0.015821472682850436, 0.9954000115394592]","[0.0025031327353935923, 0.9991000294685364]","[0.007857373736635781, 0.9973000288009644]","[0.008437822093127762, 0.9965999722480774]","[0.0008839456320594763, 0.9998000264167786]","[0.07696292211264372, 0.984000027179718]","[0.002208834411735006, 0.9998000264167786]","[0.008299088382767513, 0.996999979019165]","[0.008147765532578342, 0.9970999956130981]","[0.007282038767274935, 0.9973000288009644]","[0.01501734072167892, 0.9950000047683716]"
filepath,46,47,48,7,8,9,13,14,15,34,35,36,4,5,6,28,29,30,58,59,60,37,38,39,16,17,18,52,53,54,25,26,27,67,68,69,1,2,3,22,23,24,61,62,63,49,50,51,10,11,12,70,71,72,31,32,33,55,56,57,40,41,42,19,20,21,64,65,66,43,44,45
dropout,0.7698589239392724,0.47033786397869315,0.7977547036121437,0.36910270663982236,0.571021398005199,0.7458477535809442,0.48328562927162805,0.46050310127227023,0.747806631942739,0.5577721169498638,0.5453906084989332,0.3136347971326137,0.6702791534208636,0.48595817249141354,0.7448677311172012,0.5047643855123445,0.2654347075586622,0.6239368459201339,0.7460096088194239,0.608353479537354,0.5809999459468751,0.5676639079211641,0.4859185952056285,0.6545623531798621,0.4862058659316303,0.35629538623517565,0.5292195823013537,0.3458213732371138,0.2702805759251108,0.6767497830263456,0.3431695571691321,0.6819076815679221,0.24826749113152127,0.21366954540119504,0.2609001316245019,0.3324975627897905,0.7066531109150289,0.45234294849850704,0.5067648328211651,0.7205616652956686,0.39512261764843404,0.3146402549014343,0.5455717688189246,0.42208396420111255,0.22183522256689148,0.6759950504781346,0.5676698630244275,0.5780884042468837,0.6861303415979538,0.3860885415915996,0.7393029727807963,0.41017638043791943,0.5021819031259325,0.26055274471337997,0.6886801179748017,0.7783031275842807,0.5525702385052619,0.6895478579201958,0.2878150933473823,0.22714044071936743,0.7540286095677684,0.7389038728147275,0.5243599549688327,0.6318228118423725,0.6949069862889399,0.20068569158865698,0.7766187681437668,0.27433709865465905,0.6804479542125086,0.6231700399126439,0.6869772251047273,0.7370233804560051
training metric,"[0.01775248839287553, 0.9947299957275391]","[0.01324905849891249, 0.9973899722099304]","[0.02774563720041886, 0.992139995098114]","[0.003847363960680959, 0.9996500015258789]","[0.02199483752030181, 0.986329972743988]","[0.01745301457797177, 0.9947100281715393]","[0.004581547370277112, 0.9984700083732605]","[0.013435740807210095, 0.992330014705658]","[0.020671690679851452, 0.9937000274658203]","[0.0053571110394317655, 0.9990599751472473]","[0.006797718296285602, 0.9979199767112732]","[0.010844612723758473, 0.9943900108337402]","[0.007423249011373846, 0.9977700114250183]","[0.002780277462693193, 0.9990500211715698]","[0.021405014662379398, 0.9943000078201294]","[0.0037822769595403224, 0.9993799924850464]","[0.014024387501492602, 0.9917600154876709]","[0.007924208524702117, 0.9978700280189514]","[0.016165662083304486, 0.9951599836349487]","[0.012528498107483611, 0.9958900213241577]","[0.008805915435402422, 0.9983400106430054]","[0.012283338997486862, 0.9953399896621704]","[0.003751234632761334, 0.9988700151443481]","[0.007439543140097521, 0.9973899722099304]","[0.003001298040380352, 0.9991700053215027]","[0.008855205175489536, 0.9958000183105469]","[0.00719109940262977, 0.9976999759674072]","[0.00864668829199276, 0.998170018196106]","[0.015190623593967757, 0.9930300116539001]","[0.014625990526075475, 0.9952200055122375]","[0.004961400212439403, 0.9997100234031677]","[0.011637906744981883, 0.9963600039482117]","[0.03170440949502023, 0.9790499806404114]","[0.004022000814886997, 0.9996399879455566]","[0.002671725304078136, 0.999530017375946]","[0.00480027276659981, 0.9994199872016907]","[0.013461540407229914, 0.9950799942016602]","[0.0034671618056984154, 0.999459981918335]","[0.004371659033446631, 0.9986900091171265]","[0.01883805905173067, 0.9942399859428406]","[0.003776327625827689, 0.9994800090789795]","[0.002684836006164551, 0.9994699954986572]","[0.0052247450694150755, 0.9987499713897705]","[0.0038825023506450815, 0.9991999864578247]","[0.007255664058590628, 0.9995200037956238]","[0.02829184518328868, 0.9919099807739258]","[0.0073683616866834925, 0.9980000257492065]","[0.0051843574224662735, 0.9987300038337708]","[0.01174077372683445, 0.9959200024604797]","[0.0026982033333578146, 0.9993900060653687]","[0.01651595023136353, 0.9946200251579285]","[0.003922049442390562, 0.9986799955368042]","[0.005703462547332747, 0.9980599880218506]","[0.0047107474485653805, 0.9994300007820129]","[0.012340000283466651, 0.9957000017166138]","[0.04171842576012015, 0.9901300072669983]","[0.003793789409107412, 0.9991099834442139]","[0.030324423453416675, 0.9916700124740601]","[0.012413090866743878, 0.9947500228881836]","[0.02842819451669231, 0.9855300188064575]","[0.02359324912901502, 0.992609977722168]","[0.017900713161966415, 0.9950900077819824]","[0.004077743427994428, 0.9985299706459045]","[0.009443700923202559, 0.9968100190162659]","[0.009918286806391553, 0.996209979057312]","[0.0013982661871507298, 0.9997100234031677]","[0.07576495729029178, 0.9838600158691406]","[0.007530671877350396, 0.9986199736595154]","[0.010207069029859267, 0.9965199828147888]","[0.009901839413135313, 0.996649980545044]","[0.008271581927960505, 0.996749997138977]","[0.016503367528286763, 0.9945899844169617]"
lr,0.0006217255096710453,0.0006942208407601501,0.0009252470961527105,0.0007802237837415015,0.0003254557072261965,0.0009845069284338877,0.00019063108726152922,0.0006497982760994215,0.000969945730993683,0.0004464110313753944,0.0003612965521624822,0.0002680565754299996,0.0003729814534710347,0.0006250438355095281,0.0005542181702356512,0.0009395504418042161,0.0005961405214814961,0.0005926968201955815,0.0005807781714346515,0.0001240271151959847,0.0006457045759787971,0.000690993450090666,0.0001808419250760343,0.0008890933337404973,0.000878778934994476,0.0008245250443117201,0.00011263753014761706,0.000758340298711763,0.0002984144831810457,0.0003992825342976899,0.000970786225261129,0.0005031726142920134,0.00038804914420529117,0.0004830569487701354,0.0003339279008135488,0.0006822331478517904,0.0007821589626462723,0.000333025075263667,0.00046444072370537286,0.0003195197891984188,0.0008834241088977892,0.0006107596665586048,0.0004520884683905442,0.0009824649855825417,0.00011947285886952167,0.00017413568937698265,0.0005377997817722502,0.0008605698181043637,0.0009119493553956245,0.0007568485734341158,0.0007155855387238971,0.0002622861113767191,0.00013544083637622315,0.0009894116338502509,0.0005862552462732915,0.0006428670651652447,0.0005004901236479646,0.00019054676819448658,0.0007279035761721149,0.0006164794331102502,0.0008582142008261642,0.0009307741958381592,0.00045216644521116236,0.00045894118800184183,0.0007013378811086657,0.0005442200798187922,0.0002664747472576945,0.0002895188588979818,0.0009432722427801227,0.0003480707091809144,0.0008645373686677304,0.0006308210651780439
neurons,"[872, 799, 432, 353, 2]","[811, 661, 410, 251, 2]","[824, 690, 524, 376, 2]","[914, 736, 567, 204, 252, 230, 2]","[919, 763, 405, 268, 285, 2]","[931, 655, 409, 301, 300, 2]","[913, 633, 469, 232, 236, 351, 2]","[926, 697, 409, 224, 2]","[894, 696, 511, 232, 275, 2]","[917, 764, 539, 388, 2]","[823, 657, 489, 205, 2]","[966, 673, 532, 393, 2]","[866, 669, 464, 234, 2]","[895, 789, 527, 299, 2]","[966, 793, 446, 320, 201, 2]","[957, 785, 461, 279, 357, 265, 2]","[806, 756, 455, 216, 2]","[939, 729, 408, 236, 262, 2]","[918, 745, 463, 297, 2]","[944, 703, 403, 356, 343, 302, 2]","[976, 702, 503, 223, 2]","[994, 765, 541, 290, 2]","[913, 608, 453, 231, 2]","[945, 787, 596, 387, 2]","[943, 664, 564, 218, 2]","[979, 684, 400, 206, 283, 2]","[960, 771, 499, 222, 350, 2]","[936, 743, 425, 312, 349, 346, 2]","[922, 768, 418, 366, 237, 2]","[862, 667, 546, 257, 203, 367, 2]","[848, 716, 414, 376, 270, 339, 2]","[807, 641, 547, 378, 291, 301, 2]","[893, 642, 501, 264, 325, 2]","[935, 666, 597, 232, 305, 373, 2]","[956, 649, 450, 355, 334, 291, 2]","[861, 696, 445, 383, 2]","[828, 798, 585, 224, 387, 2]","[949, 701, 420, 208, 393, 2]","[840, 620, 546, 397, 383, 372, 2]","[885, 725, 427, 342, 2]","[955, 632, 516, 273, 318, 2]","[870, 771, 521, 379, 340, 2]","[943, 634, 508, 238, 2]","[974, 613, 551, 384, 2]","[965, 768, 442, 243, 286, 2]","[810, 757, 478, 399, 307, 320, 2]","[980, 677, 575, 320, 309, 2]","[878, 740, 533, 243, 205, 2]","[803, 648, 490, 244, 2]","[817, 631, 407, 396, 207, 347, 2]","[900, 721, 570, 379, 2]","[866, 700, 440, 352, 271, 2]","[928, 645, 435, 340, 382, 282, 2]","[874, 705, 512, 334, 2]","[914, 736, 470, 298, 340, 237, 2]","[910, 650, 457, 319, 256, 327, 2]","[900, 688, 526, 320, 311, 2]","[858, 733, 401, 301, 271, 219, 2]","[868, 641, 500, 351, 2]","[958, 752, 471, 247, 360, 2]","[803, 791, 494, 250, 384, 281, 2]","[977, 781, 459, 388, 312, 343, 2]","[938, 738, 451, 270, 229, 2]","[935, 750, 519, 237, 284, 2]","[873, 732, 434, 301, 390, 385, 2]","[832, 717, 571, 379, 247, 354, 2]","[967, 678, 504, 262, 396, 269, 2]","[908, 674, 506, 286, 357, 2]","[984, 639, 546, 290, 376, 2]","[822, 604, 422, 225, 2]","[882, 765, 509, 394, 283, 338, 2]","[938, 702, 481, 382, 308, 291, 2]"
training time,5044.527702093124,3840.2904019355774,5498.258615732193,5442.928219079971,4820.57213306427,4738.587874174118,5432.46969294548,4084.0820231437683,5827.471550941467,4853.476848125458,3892.3515679836273,6908.211363792419,4191.206712722778,6524.9068338871,5330.945451974869,5742.405102729797,5161.524411678314,5259.627551794052,4434.036231994629,7321.279788017273,4692.176349878311,5572.856398105621,3862.0535049438477,7163.5274040699005,5083.950518131256,6604.500230312347,4926.281876087189,6715.429819822311,5664.887992858887,4491.457902908325,6026.1986701488495,6664.334440946579,4195.704370260239,6567.27298784256,5292.2077922821045,5037.91997385025,6841.6996717453,4624.685145139694,5440.472031116486,6264.809541225433,5092.731854200363,5907.25542807579,6427.126223087311,4828.853817939758,6250.004044055939,6193.421591043472,7245.35854101181,4057.4836909770966,6364.246853113174,5568.760678291321,5759.502417087555,6156.034140110016,6124.766903162003,5411.617630958557,6806.739802122116,7104.0239951610565,4063.4801111221313,5777.749243974686,6772.261682987213,5493.817494630814,6479.365292072296,8507.035608053207,3091.0785348415375,6791.422286272049,5676.407945871353,5739.881626844406,8519.86639213562,6001.278005838394,3931.9406480789185,5515.382025003433,9326.220750808716,3941.3124389648438
