epoch,accuracy,loss,val_accuracy,val_loss
0,0.97312,0.08611893376845517,0.9634000062942505,0.10938442549221218
1,0.98884,0.03778013399853662,0.996999979019165,0.020960113995615395
2,0.99058,0.032813542345820464,0.9954000115394592,0.020410043126693925
3,0.99229,0.027339514851972346,0.9872000217437744,0.025713187002274207
4,0.99204,0.02612000619320548,0.9883999824523926,0.019334079347661463
5,0.99382,0.02162565900453861,0.9973000288009644,0.010603365483949892
6,0.99366,0.020326690615293918,0.978600025177002,0.03839028558470309
7,0.99425,0.020178674456113075,0.9976999759674072,0.012554483418323797
8,0.995,0.017223715124343435,0.9876000285148621,0.028147421725146705
9,0.99515,0.016553424096235687,0.9987000226974487,0.0036406922197988025
10,0.99569,0.015657770303499418,0.9986000061035156,0.006551355120888911
11,0.99533,0.01584510950195574,0.9986000061035156,0.006812137002963572
12,0.99549,0.015282060227354814,0.9988999962806702,0.003065021334897756
13,0.99623,0.013354517081135418,0.998199999332428,0.012627159350368311
14,0.99628,0.01268532919304671,0.9872000217437744,0.02298891755508812
15,0.9962,0.013302860838138295,0.9986000061035156,0.00528161454737492
16,0.99648,0.012420557698034245,0.9993000030517578,0.003231835846660397
17,0.99661,0.012094526978242138,0.9987999796867371,0.004492264951827747
18,0.99682,0.011165859749263546,0.9984999895095825,0.005928609901499294
19,0.99661,0.011571929061238844,0.9994000196456909,0.0025350776936327746
20,0.99677,0.010731250645645124,0.9991999864578247,0.002990630322680954
21,0.99701,0.010337752191614745,0.9993000030517578,0.0068858697228035455
22,0.99712,0.01013851561235475,0.9984999895095825,0.006007646782326992
23,0.99708,0.010559316363150138,0.9987000226974487,0.005482402053644182
24,0.9973,0.010155918954343505,0.9984999895095825,0.005063548495434406
25,0.99735,0.010104292213494846,0.9983000159263611,0.0046755514016815145
26,0.99763,0.008852710692645706,0.9980999827384949,0.00471069985742779
27,0.99732,0.009644419915352954,0.9988999962806702,0.00323382221706961
28,0.99714,0.010040031135794342,0.9987000226974487,0.003366743449488058
29,0.99745,0.008997598065279307,0.9988999962806702,0.003670601509223343
30,0.99725,0.009643688438668032,0.9987000226974487,0.0038934039769199444
31,0.9976,0.008480762548141865,0.9983999729156494,0.004442652562913645
32,0.99773,0.008129575780686354,0.9988999962806702,0.00326270037291024
33,0.99787,0.007727276718980247,0.9988999962806702,0.0030804386438678193
34,0.99758,0.008518679970370067,0.9998999834060669,0.003413568302243948
35,0.99738,0.008743273690704264,0.9991000294685364,0.0037354210273599165
36,0.99786,0.007592497624281459,0.9991000294685364,0.0028774290109071445
37,0.99789,0.007628286592329932,0.9994999766349792,0.0015889783751637878
38,0.99796,0.006932672978982974,0.9998999834060669,0.003999855714661681
39,0.99795,0.006932826887501415,0.9994000196456909,0.0018611517768894828
