epoch,loss,mse,val_loss,val_mse
0,325.0487449584961,325.04883,118.58187316894531,118.5818862915039
1,66.60800014648437,66.60796,58.96204943847656,58.96205139160156
2,51.80985100708008,51.80985,42.13278646850586,42.13279342651367
3,46.60231086425781,46.60231,37.93580383300781,37.9358024597168
4,42.62920872802734,42.629215,32.96303036499023,32.96302795410156
5,39.10033482666016,39.10031,30.528008819580077,30.528013229370117
6,36.40323150634766,36.40325,26.71193453979492,26.71193504333496
7,34.236301336669925,34.2363,25.887163848876952,25.887163162231445
8,32.44956536254883,32.44959,25.272162689208983,25.27216339111328
9,30.868324627685546,30.86833,24.084502563476562,24.084503173828125
10,29.173974050903322,29.173973,20.57539294433594,20.575389862060547
11,27.703706567382813,27.703718,20.490540710449217,20.490541458129883
12,26.584491998291014,26.584473,17.755438232421874,17.75543975830078
13,25.60035874938965,25.600367,17.861658645629884,17.861658096313477
14,24.56109287109375,24.561094,16.3196177444458,16.319616317749023
15,23.84955746459961,23.84956,16.649938232421874,16.649938583374023
16,23.158804895019532,23.158794,15.359937675476074,15.35993766784668
17,22.382461013793947,22.38246,16.066606147766112,16.066608428955078
18,21.836742672729493,21.836733,14.604902229309083,14.604900360107422
19,21.34892173461914,21.348923,14.600021034240722,14.600020408630371
20,20.446419802856447,20.446413,12.854099502563477,12.854100227355957
21,20.421496575927733,20.421503,13.45144514465332,13.451445579528809
22,19.91596933288574,19.91597,12.335470008850098,12.335471153259277
23,19.52316203918457,19.523163,13.156440322875977,13.156440734863281
24,19.261725201416017,19.26173,12.929957214355468,12.929957389831543
25,18.723236804199217,18.72324,12.778184768676757,12.778183937072754
26,18.615814077758788,18.615822,12.214686264038086,12.214686393737793
27,18.243125964355468,18.243126,12.566923622131348,12.566923141479492
28,17.942238934326173,17.942238,11.555024322509766,11.555025100708008
29,17.788015579223632,17.788025,11.744853706359864,11.744853019714355
30,17.3763361328125,17.376337,10.893954040527344,10.893954277038574
31,17.238428494262696,17.238434,10.874220481872559,10.87421989440918
32,16.97219320373535,16.972195,10.66375142288208,10.663751602172852
33,16.811736599731447,16.81173,10.441573810577392,10.441575050354004
34,16.645633975219727,16.645636,10.365166984558105,10.365167617797852
35,16.301051121520995,16.301052,10.57756039428711,10.577561378479004
36,16.291944721984862,16.291956,10.256852214813232,10.256851196289062
37,16.10382066040039,16.103819,10.214249488830566,10.214249610900879
38,15.824349658203126,15.82435,11.150412425994872,11.150411605834961
39,15.785001119995117,15.785007,10.06368386077881,10.063681602478027
40,15.733114833068848,15.733116,10.696992805480956,10.696990966796875
41,15.603150744628905,15.603154,10.048014053344726,10.048015594482422
42,15.1746552444458,15.174652,9.246756801605224,9.246757507324219
43,15.186465336608887,15.18647,9.47451114654541,9.474512100219727
44,14.86906474609375,14.869062,9.919831977844238,9.919833183288574
45,14.944597436523438,14.944604,9.90002360534668,9.900023460388184
46,14.841140371704101,14.841145,8.823099296569824,8.823101043701172
47,14.54943178100586,14.549434,8.692218990325928,8.692218780517578
48,14.53078062286377,14.53078,9.239214744567871,9.239216804504395
49,14.360837783813476,14.360838,8.90484217453003,8.9048433303833
50,14.36069309234619,14.360692,9.015577129364013,9.015576362609863
