epoch,loss,mse,val_loss,val_mse
0,515.328162109375,515.3282,247.5308380126953,247.5308380126953
1,448.3407922363281,448.3408,1707.5618896484375,1707.5618896484375
2,439.3676139526367,439.36758,1155.3427734375,1155.3427734375
3,429.691888671875,429.69186,708.542724609375,708.542724609375
4,420.89126159667967,420.8913,676.07861328125,676.07861328125
5,416.348311706543,416.34833,583.3167114257812,583.3167114257812
6,406.46165490722655,406.4617,393.207275390625,393.207275390625
7,401.0943673095703,401.09433,288.02545166015625,288.02545166015625
8,391.39755700683594,391.39755,213.4330291748047,213.4330291748047
9,384.09627954101563,384.09628,199.26873779296875,199.26873779296875
10,381.14773931884764,381.1477,164.49949645996094,164.49949645996094
11,364.41210925292967,364.41208,143.4851531982422,143.4851531982422
12,357.9359227294922,357.9359,116.20204162597656,116.20204162597656
13,350.02406451416016,350.02405,110.73178100585938,110.73178100585938
14,332.5830902709961,332.58313,120.92542266845703,120.92542266845703
15,321.46372375488284,321.4637,128.8786163330078,128.8786163330078
16,310.6358259887695,310.6358,126.31414031982422,126.31414031982422
17,289.4310319519043,289.43103,117.14021301269531,117.14021301269531
18,279.3822171020508,279.38223,118.67159271240234,118.67159271240234
19,266.7697398376465,266.76974,118.16818237304688,118.16818237304688
20,243.87651235961914,243.87651,130.18716430664062,130.18716430664062
21,227.79725079345704,227.79726,146.24908447265625,146.24908447265625
22,218.34404229736327,218.34404,138.98544311523438,138.98544311523438
23,197.74148876953126,197.74147,128.4371337890625,128.4371337890625
24,184.9785862121582,184.97858,147.26092529296875,147.26092529296875
25,160.3720524749756,160.37204,152.1790008544922,152.1790008544922
26,147.91666777038574,147.91667,134.2449493408203,134.2449493408203
27,134.57922253417968,134.57922,118.46888732910156,118.46888732910156
28,116.2997221069336,116.29972,117.7845230102539,117.7845230102539
29,101.33603974914551,101.336044,103.88072967529297,103.88072967529297
30,88.5226840133667,88.52268,93.12928771972656,93.12928771972656
31,74.60405806732177,74.604065,78.71855926513672,78.71855926513672
32,69.31407662200928,69.31408,55.14326095581055,55.14326095581055
33,60.230056037902834,60.230053,40.64341735839844,40.64341735839844
34,49.79110889434814,49.79111,39.05585479736328,39.05585479736328
35,42.706241790771486,42.70624,25.182191848754883,25.182191848754883
36,39.31638742828369,39.31639,17.453157424926758,17.453157424926758
37,30.42702329444885,30.427021,18.84754180908203,18.84754180908203
38,26.484887172698976,26.484886,13.846955299377441,13.846955299377441
39,21.88801794433594,21.88802,10.947033882141113,10.947033882141113
40,19.470836946487427,19.470837,12.130683898925781,12.130683898925781
41,18.63580916786194,18.635809,17.474157333374023,17.474157333374023
42,16.609142465591432,16.609142,14.712421417236328,14.712421417236328
43,15.45776531791687,15.457766,18.399751663208008,18.399751663208008
44,12.740813402175903,12.740812,11.968169212341309,11.968169212341309
45,13.664149900436401,13.66415,9.837729454040527,9.837729454040527
46,12.045082162857055,12.045082,5.861657619476318,5.861657619476318
47,11.497875810623169,11.497876,4.671417713165283,4.671417713165283
48,13.109259458541871,13.10926,5.289579391479492,5.289579391479492
49,12.822230501174927,12.82223,3.0864956378936768,3.0864956378936768
50,11.195963348388672,11.195963,3.9210751056671143,3.9210751056671143
51,12.882116048812867,12.882117,6.608262538909912,6.608262538909912
52,10.540130336761475,10.540131,4.874179840087891,4.874179840087891
53,12.162251626968384,12.1622505,3.0071234703063965,3.0071234703063965
54,11.87123892211914,11.87124,4.828281879425049,4.828281879425049
55,11.013816383361817,11.013818,1.7486424446105957,1.7486424446105957
56,10.17972862148285,10.1797285,1.9642466306686401,1.9642466306686401
57,10.952367782592773,10.952367,4.889736652374268,4.889736652374268
58,10.610110301971435,10.61011,2.2748842239379883,2.2748842239379883
59,10.772674573898316,10.772675,2.1753766536712646,2.1753766536712646
60,11.411854919433594,11.411856,1.5905096530914307,1.5905096530914307
61,10.52087875366211,10.520879,0.9650315046310425,0.9650315046310425
62,11.898167037963868,11.898168,1.6298338174819946,1.6298338174819946
63,12.469636533737182,12.469636,3.072345495223999,3.072345495223999
64,9.626942991256714,9.626943,1.9103552103042603,1.9103552103042603
65,11.525045484542847,11.525046,1.5396583080291748,1.5396583080291748
66,9.84492600440979,9.844925,3.1054418087005615,3.1054418087005615
67,9.931773258209228,9.931773,1.7291308641433716,1.7291308641433716
68,8.897334330558778,8.897335,1.381808876991272,1.381808876991272
69,9.196520582199097,9.196522,1.8031439781188965,1.8031439781188965
70,8.020995676994323,8.020996,1.5342886447906494,1.5342886447906494
71,10.365148183822631,10.365149,1.4365572929382324,1.4365572929382324
72,9.288380727767944,9.28838,1.5420176982879639,1.5420176982879639
73,8.372244092941283,8.372244,1.8063709735870361,1.8063709735870361
74,9.401087238311767,9.401088,1.554373025894165,1.554373025894165
75,10.053229226112366,10.053228,1.5690722465515137,1.5690722465515137
76,8.766399388313294,8.766399,2.219791889190674,2.219791889190674
77,9.43501574230194,9.435016,2.7607171535491943,2.7607171535491943
78,8.824348381996154,8.8243475,2.1749680042266846,2.1749680042266846
79,9.607524333000184,9.607523,2.8836898803710938,2.8836898803710938
80,9.945922352790832,9.945923,1.3507100343704224,1.3507100343704224
81,9.735875630378723,9.735875,0.609653651714325,0.609653651714325
82,9.147629765510558,9.14763,0.8149592876434326,0.8149592876434326
83,8.650409093856812,8.650409,0.671021044254303,0.671021044254303
84,8.755015579223633,8.755015,0.9539942145347595,0.9539942145347595
85,10.81692427444458,10.816924,1.501603364944458,1.501603364944458
86,11.8569006690979,11.8569,1.1046557426452637,1.1046557426452637
87,9.005831984519958,9.005832,1.3971295356750488,1.3971295356750488
88,9.084947617530823,9.084948,1.27090322971344,1.27090322971344
89,9.920647471427918,9.920648,0.8524688482284546,0.8524688482284546
90,9.354277944564819,9.354279,1.791610598564148,1.791610598564148
91,6.81507347869873,6.815074,1.561537265777588,1.561537265777588
92,8.861029564857484,8.861031,1.1730608940124512,1.1730608940124512
93,8.749475655555726,8.7494755,0.7206640839576721,0.7206640839576721
94,8.297058446884154,8.297059,1.5446439981460571,1.5446439981460571
95,8.233460111618042,8.23346,1.020290732383728,1.020290732383728
96,8.6500680809021,8.650068,1.5996078252792358,1.5996078252792358
97,8.621320042610169,8.62132,1.0829055309295654,1.0829055309295654
98,9.529791250228882,9.529791,0.6478419303894043,0.6478419303894043
99,10.13389915084839,10.133901,1.2666897773742676,1.2666897773742676
100,8.884791078567504,8.884791,0.9101278185844421,0.9101278185844421
101,7.741375825881958,7.741376,1.034319281578064,1.034319281578064
