epoch,accuracy,loss,val_accuracy,val_loss
0,0.98327,0.05493208956541144,0.8973000049591064,0.15369404170867057
1,0.99275,0.025808647984204,0.9965999722480774,0.015500482673328951
2,0.99333,0.02295139620105794,0.9277999997138977,0.13220580395383294
3,0.99453,0.018607548719078187,0.9987999796867371,0.008233160154416691
4,0.9947,0.018533507459343526,0.9976999759674072,0.011358747685486743
5,0.99478,0.017003445263209287,0.9972000122070312,0.008387207809655229
6,0.99552,0.014478386880062753,0.9976000189781189,0.012710293219762388
7,0.9963,0.013034081537316378,0.998199999332428,0.009120162509265355
8,0.99625,0.012360175346920733,0.9983999729156494,0.007034895791698363
9,0.9965,0.012382077424908348,0.9993000030517578,0.003741479294243618
10,0.99713,0.009602834928668817,0.9991999864578247,0.004519734764723398
11,0.99704,0.01045007455631523,0.9983000159263611,0.003676205473554728
12,0.99692,0.010731644871119933,0.9988999962806702,0.0028496207234922624
13,0.9972,0.009552552463364264,0.9980999827384949,0.005961957718089979
14,0.99738,0.009552146636211983,0.9984999895095825,0.0038070355465039027
15,0.9974,0.009083471194205559,0.9994000196456909,0.004236869421999654
16,0.99762,0.008606621308707981,0.9994000196456909,0.0026007265282833943
17,0.99781,0.00796856742755801,0.9991000294685364,0.003838075784484681
18,0.99788,0.007318264591180414,0.998199999332428,0.009751140830426266
19,0.99778,0.007612880138717156,0.9789999723434448,0.09910091762057127
20,0.99817,0.006924414359811126,0.9990000128746033,0.0035713880804396467
21,0.99799,0.007327932819473135,0.9991999864578247,0.002413493408702925
22,0.99817,0.006762743540800365,0.9994000196456909,0.008151808191988675
23,0.99832,0.005929358809023543,0.9991000294685364,0.004038020592329849
24,0.99831,0.0062707451135785046,0.9997000098228455,0.0017564334603644965
25,0.99852,0.005709102106022437,0.9994999766349792,0.006159368677239399
26,0.99841,0.006249820199105307,0.9987999796867371,0.004398215396779779
27,0.99833,0.00614853204084051,0.9990000128746033,0.006981112308522279
28,0.99843,0.0056949168539499806,0.9998000264167786,0.000883945661769485
29,0.99837,0.005707061036418526,0.988099992275238,0.014334029098984319
30,0.99859,0.00494387944784019,0.9994999766349792,0.001407772711260668
31,0.9982,0.006268419528688392,0.9994999766349792,0.0017360835526607844
32,0.99871,0.004861772215862656,0.9994000196456909,0.002283245791177069
33,0.99841,0.005968057366080466,0.9997000098228455,0.0013063490508537143
34,0.99831,0.006162488079444156,0.9998000264167786,0.0020486865931778086
35,0.99862,0.005203882332631219,0.9997000098228455,0.0017448971005064322
36,0.99861,0.005086160180384632,0.9998000264167786,0.0013116807046972098
37,0.99868,0.004734285978305197,0.9995999932289124,0.0031129758313645653
38,0.99837,0.006065029680043299,0.9995999932289124,0.0015688896334532729
39,0.99867,0.004801677158669736,0.9998000264167786,0.0011099434525758624
